JobID|CPUTimeRAW|
14890|2640|
14890.batch|2640|
14890.extern|2640|
14891|68|
14891.batch|68|
14891.extern|68|
14893|960|
14893.batch|960|
14893.extern|960|
14894|2800|
14894.batch|2800|
14894.extern|2800|
14895|87|
14895.batch|87|
14895.extern|87|
14896|66|
14896.batch|66|
14896.extern|66|
14897|0|
14899|16220|
14899.extern|16220|
14899.0|16220|
14901|1297|
14901.batch|1297|
14901.extern|1297|
14903|40|
14903.batch|40|
14903.extern|40|
14904|0|
14904.batch|0|
14904.extern|0|
14905|0|
14905.batch|0|
14905.extern|0|
14906|2509|
14906.batch|2509|
14906.extern|2509|
14908|240|
14908.batch|240|
14908.extern|240|
14909|0|
14909.batch|0|
14909.extern|0|
14910|7|
14910.batch|7|
14910.extern|7|
14914|685760|
14914.extern|685800|
14914.0|686160|
14878|89080|
14878.batch|89080|
14878.extern|89080|
16436|120800|
16436.extern|120800|
16436.0|120800|
14902|124560|
14902.batch|124560|
14902.extern|124560|
14907|47080|
14907.batch|47080|
14907.extern|47080|
16438|65620|
16438.extern|65620|
16438.0|65620|
16439|284000|
16439.extern|284000|
16439.0|284000|
16448|69440|
16448.extern|69440|
16448.0|69440|
16449|140920|
16449.extern|140920|
16449.0|140920|
16450|2|
16450.batch|2|
16450.extern|2|
16451|320|
16451.batch|320|
16451.extern|320|
16452|0|
16452.batch|0|
16452.extern|0|
16453|0|
16453.batch|0|
16453.extern|0|
16454|6|
16454.batch|6|
16454.extern|6|
16549|0|
17550|1|
17550.batch|1|
17550.extern|1|
17552|1|
17552.batch|1|
17552.extern|1|
17553|1|
17553.batch|1|
17553.extern|1|
17554|2|
17554.batch|2|
17554.extern|2|
17556|160|
17556.batch|160|
17556.extern|160|
17558|0|
17559|1088080|
17559.extern|1088080|
17559.0|1088080|
17560|240|
17560.batch|240|
17560.extern|240|
17562|1800|
17562.batch|1800|
17562.extern|1800|
17564|1560|
17564.batch|1560|
17564.extern|1600|
17565|40|
17565.batch|40|
17565.extern|40|
17568|0|
17568.batch|0|
17568.extern|0|
17570|40|
17570.batch|40|
17570.extern|40|
17571|40|
17571.batch|40|
17571.extern|40|
17572|200|
17572.batch|200|
17572.extern|200|
17573|40|
17573.batch|40|
17573.extern|40|
17600|0|
17600.batch|0|
17600.extern|0|
17601|480|
17601.batch|480|
17601.extern|480|
17602|40|
17602.batch|40|
17602.extern|40|
17655|40|
17655.batch|40|
17655.extern|80|
17657|40|
17657.batch|40|
17657.extern|40|
17658|0|
17658.batch|0|
17658.extern|0|
17686|0|
17686.batch|0|
17686.extern|0|
17687|2|
17687.batch|2|
17687.extern|3|
17688|280|
17688.batch|280|
17688.extern|280|
17689|1680|
17689.batch|1680|
17689.extern|1680|
17690|40|
17690.batch|40|
17690.extern|40|
17691|40|
17691.batch|40|
17691.extern|40|
17692|360|
17692.batch|360|
17692.extern|400|
17693|40|
17693.batch|40|
17693.extern|40|
17694|40|
17694.batch|40|
17694.extern|40|
17695|0|
17695.batch|0|
17695.extern|0|
17716|240|
17716.batch|240|
17716.extern|240|
17717|7|
17717.batch|7|
17717.extern|7|
17718|40|
17718.batch|40|
17718.extern|40|
17719|7|
17719.batch|7|
17719.extern|7|
17720|1|
17720.batch|1|
17720.extern|1|
17721|240|
17721.batch|240|
17721.extern|240|
17722|40|
17722.batch|40|
17722.extern|40|
17723|1|
17723.batch|1|
17723.extern|1|
17724|0|
17724.batch|0|
17724.extern|0|
17728|1|
17728.batch|1|
17728.extern|1|
17729|3|
17729.batch|3|
17729.extern|3|
17730|240|
17730.batch|240|
17730.extern|240|
17731|2080|
17731.batch|2080|
17731.extern|2080|
17732|4|
17732.batch|4|
17732.extern|4|
17733|0|
17733.batch|0|
17733.extern|40|
17734|0|
17734.batch|0|
17734.extern|0|
17735|360|
17735.batch|360|
17735.extern|360|
17736|4|
17736.batch|4|
17736.extern|4|
17737|40|
17737.batch|40|
17737.extern|40|
17738|80|
17738.batch|80|
17738.extern|80|
17739|0|
17739.batch|0|
17739.extern|0|
17740|4|
17740.batch|4|
17740.extern|4|
17741|4|
17741.batch|4|
17741.extern|4|
17742|1|
17742.batch|1|
17742.extern|1|
17743|1|
17743.batch|1|
17743.extern|1|
17744|1|
17744.batch|1|
17744.extern|1|
17745|1|
17745.batch|1|
17745.extern|1|
17746|0|
17746.batch|0|
17746.extern|0|
17747|0|
17747.batch|0|
17747.extern|0|
17748|1|
17748.batch|1|
17748.extern|1|
17749|0|
17749.batch|0|
17749.extern|0|
17750|0|
17750.batch|0|
17750.extern|0|
17751|0|
17751.batch|0|
17751.extern|0|
17752|0|
17752.batch|0|
17752.extern|0|
17764|1|
17764.batch|1|
17764.extern|1|
17766|1|
17766.batch|1|
17766.extern|1|
17767|0|
17767.batch|0|
17767.extern|0|
17768|0|
17768.batch|0|
17768.extern|0|
17769|1|
17769.batch|1|
17769.extern|1|
17770|3|
17770.batch|3|
17770.extern|3|
17771|40|
17771.batch|40|
17771.extern|40|
17772|160|
17772.batch|160|
17772.extern|160|
17773|2|
17773.batch|2|
17773.extern|2|
17774|40|
17774.batch|40|
17774.extern|40|
17775|0|
17775.batch|0|
17775.extern|0|
17776|40|
17776.batch|40|
17776.extern|40|
17777|2|
17777.batch|2|
17777.extern|2|
17778|0|
17778.batch|0|
17778.extern|0|
17779|40|
17779.batch|40|
17779.extern|40|
17780|0|
17780.batch|0|
17780.extern|0|
17781|3|
17781.batch|3|
17781.extern|3|
17782|240|
17782.batch|240|
17782.extern|240|
17783|2040|
17783.batch|2040|
17783.extern|2040|
17784|2|
17784.batch|2|
17784.extern|2|
17785|40|
17785.batch|40|
17785.extern|40|
17786|40|
17786.batch|40|
17786.extern|40|
17787|400|
17787.batch|400|
17787.extern|400|
17788|2|
17788.batch|2|
17788.extern|2|
17789|40|
17789.batch|40|
17789.extern|40|
17790|40|
17790.batch|40|
17790.extern|40|
17791|0|
17791.batch|0|
17791.extern|0|
17792|6|
17792.batch|6|
17792.extern|6|
17794|0|
17794.batch|0|
17794.extern|0|
17795|2|
17795.batch|2|
17795.extern|2|
17796|240|
17796.batch|240|
17796.extern|240|
17797|2080|
17797.batch|2080|
17797.extern|2080|
17798|1|
17798.batch|1|
17798.extern|1|
17799|40|
17799.batch|40|
17799.extern|40|
17800|40|
17800.batch|40|
17800.extern|40|
17801|400|
17801.batch|400|
17801.extern|400|
17802|1|
17802.batch|1|
17802.extern|1|
17803|40|
17803.batch|40|
17803.extern|40|
17804|80|
17804.batch|80|
17804.extern|80|
17805|0|
17805.batch|0|
17805.extern|0|
17806|7|
17806.batch|7|
17806.extern|7|
17807|0|
17807.batch|0|
17807.extern|0|
17808|2|
17808.batch|2|
17808.extern|2|
17809|240|
17809.batch|240|
17809.extern|240|
17810|1640|
17810.batch|1640|
17810.extern|1640|
17811|1|
17811.batch|1|
17811.extern|1|
17812|40|
17812.batch|40|
17812.extern|40|
17813|0|
17813.batch|0|
17813.extern|0|
17814|360|
17814.batch|360|
17814.extern|360|
17815|1|
17815.batch|1|
17815.extern|1|
17816|40|
17816.batch|40|
17816.extern|40|
17817|80|
17817.batch|80|
17817.extern|80|
17818|0|
17818.batch|0|
17818.extern|0|
17819|6|
17819.batch|6|
17819.extern|6|
17820|0|
17820.batch|0|
17820.extern|0|
17821|2|
17821.batch|2|
17821.extern|2|
17822|280|
17822.batch|280|
17822.extern|280|
17823|1960|
17823.batch|1960|
17823.extern|1960|
17824|2|
17824.batch|2|
17824.extern|2|
17825|0|
17825.batch|0|
17825.extern|0|
17826|0|
17826.batch|0|
17826.extern|0|
17827|200|
17827.batch|200|
17827.extern|200|
17828|2|
17828.batch|2|
17828.extern|2|
17829|40|
17829.batch|40|
17829.extern|40|
17830|0|
17830.batch|0|
17830.extern|0|
