species,method,genome_coverage,hic_coverage,grouping,order,orientation,accuracy,edit_distance,seconds,scaffold_count,scaffold_largest,scaffold_n50,reference_count,reference_largest,reference_n50
ltarentolae,salsa,50x,1x,0.32415913917458705,0.0,0.0,0.20780332493646403,547.0,11,658,1164181,94577,37.0,2677755.0,1086296.0
ltarentolae,salsa,50x,500x,0.7045717313247031,0.6000207110514061,0.5637365894660511,0.652112107686181,305.0,867,243,3460526,646717,37.0,2677755.0,1086296.0
ltarentolae,salsa,50x,50x,0.700452587794775,0.5356913304406711,0.49828858511262203,0.5970632510992201,367.0,109,318,2980267,616714,37.0,2677755.0,1086296.0
ltarentolae,salsa,50x,5x,0.323598433563052,0.0,0.0,0.20724261932492902,548.0,11,658,1164181,94577,37.0,2677755.0,1086296.0
ltarentolae,salsa,60x,100x,0.801128716476819,0.7174268112477401,0.662645831756223,0.7061867492655001,168.0,201,165,3430767,837968,37.0,2677755.0,1086296.0
ltarentolae,salsa,70x,100x,0.762710172677953,0.5508275644338431,0.515707399602491,0.571101033857057,420.0,180,343,2131515,703268,37.0,2677755.0,1086296.0
ltarentolae,salsa,80x,100x,0.7797075943298271,0.532138117776893,0.506584553455387,0.580333587021399,269.0,196,236,1764632,637641,37.0,2677755.0,1086296.0
ltarentolae,salsa,90x,100x,0.8301631311586881,0.633223831821471,0.5899437348373421,0.66008043674245,185.0,190,156,2893046,831370,37.0,2677755.0,1086296.0
scerevisiae,salsa,100kb,1000x,0.6793966048570561,0.97415838790852,0.97415838790852,0.9283927382382561,11.0,405,14,2731572,1095940,17.0,1531933.0,924431.0
scerevisiae,salsa,100kb,100x,0.7241168649343711,0.9557008186762541,0.9557008186762541,0.9119414531666871,13.0,38,16,1639368,1095940,17.0,1531933.0,924431.0
scerevisiae,salsa,100kb,10x,0.138666154483324,0.0,0.0,0.108697095237723,112.0,7,129,100000,100000,17.0,1531933.0,924431.0
scerevisiae,salsa,100kb,1x,0.138666154483324,0.0,0.0,0.108697095237723,112.0,5,129,100000,100000,17.0,1531933.0,924431.0
scerevisiae,salsa,100kb,500x,0.6793966048570561,0.97415838790852,0.97415838790852,0.9283927382382561,11.0,199,14,2731572,1095940,17.0,1531933.0,924431.0
scerevisiae,salsa,100kb,50x,0.7241168649343711,0.9557008186762541,0.9557008186762541,0.9119414531666871,13.0,34,16,1639368,1095940,17.0,1531933.0,924431.0
scerevisiae,salsa,100kb,5x,0.138666154483324,0.0,0.0,0.108697095237723,112.0,14,129,100000,100000,17.0,1531933.0,924431.0
scerevisiae,salsa,100x,100x,0.8327869404393821,1.0,1.0,0.8234106110058951,8.0,39,24,1533618,1091628,17.0,1531933.0,924431.0
scerevisiae,salsa,10kb,100x,0.5273970887893841,0.8823237471524651,0.877461246536931,0.8770354455275331,153.0,82,93,1459000,482500,17.0,1531933.0,924431.0
scerevisiae,salsa,10x,100x,0.23932644889875201,0.29801508548696204,0.26023886001439,0.31539916984660904,297.0,42,280,214784,48133,17.0,1531933.0,924431.0
scerevisiae,salsa,1mb,100x,0.8708669534923651,0.319662770241099,0.319662770241099,0.737116196660306,7.0,50,16,1532433,983936,17.0,1531933.0,924431.0
scerevisiae,salsa,20x,1000x,0.610018140432668,0.7603567743006211,0.7603567743006211,0.73036501234825,41.0,631,30,3518186,888785,17.0,1531933.0,924431.0
scerevisiae,salsa,20x,100x,0.590709229273608,0.742566620738764,0.742566620738764,0.7101908168066801,41.0,49,33,3486225,815930,17.0,1531933.0,924431.0
scerevisiae,salsa,20x,10x,0.40511140798910705,0.0,0.0,0.237658407648337,95.0,10,121,620710,176516,17.0,1531933.0,924431.0
